system_id,name,latitude,longitude,elevation,tracking,azimuth,tilt,file_id,file_name,timezone,data_sampling_frequency,issue,number_days
5162,Chaffey - Etiwanda East,34.128339,-117.511124,1375.0,False,180.0,7.49,405,5162_ac_power_inv_2762.csv,Etc/GMT+8,15,clipping,2506
5162,Chaffey - Etiwanda East,34.128339,-117.511124,1375.0,False,180.0,7.49,406,5162_ac_power_inv_2765.csv,Etc/GMT+8,15,clipping,2481
5162,Chaffey - Etiwanda East,34.128339,-117.511124,1375.0,False,180.0,7.49,407,5162_ac_power_inv_2760.csv,Etc/GMT+8,15,clipping,2502
5162,Chaffey - Etiwanda East,34.128339,-117.511124,1375.0,False,180.0,7.49,408,5162_ac_power_inv_2756.csv,Etc/GMT+8,15,clipping,2480
5184,URE Prescott,33.222111,-82.378167,436.0,False,180.0,22.0,409,5184_ac_power_inv_3059.csv,Etc/GMT+5,15,clipping,2473
5184,URE Prescott,33.222111,-82.378167,436.0,False,180.0,22.0,411,5184_ac_power_inv_3051.csv,Etc/GMT+5,15,clipping,2492
5184,URE Prescott,33.222111,-82.378167,436.0,False,180.0,22.0,413,5184_ac_power_inv_3052.csv,Etc/GMT+5,15,clipping,2525
5196,TUSD White ES 1,32.1516678,-111.0168228,2464.0,False,180.0,12.0,415,5196_ac_power_inv_3163.csv,Etc/GMT+7,15,clipping,2519
5196,TUSD White ES 1,32.1516678,-111.0168228,2464.0,False,180.0,12.0,416,5196_ac_power_inv_3157.csv,Etc/GMT+7,15,clipping,2512
5196,TUSD White ES 1,32.1516678,-111.0168228,2464.0,False,180.0,12.0,417,5196_ac_power_inv_3161.csv,Etc/GMT+7,15,clipping,2518
5196,TUSD White ES 1,32.1516678,-111.0168228,2464.0,False,180.0,12.0,418,5196_ac_power_inv_3162.csv,Etc/GMT+7,15,clipping,2519
5196,TUSD White ES 1,32.1516678,-111.0168228,2464.0,False,180.0,12.0,420,5196_ac_power_inv_3160.csv,Etc/GMT+7,15,clipping,2505
5222,San Gabriel Washington ES,34.1069508,-118.1036145,0.0,False,270.0,7.49,421,5222_ac_power_inv_3332.csv,Etc/GMT+8,15,,2131
5222,San Gabriel Washington ES,34.1069508,-118.1036145,0.0,False,270.0,7.49,422,5222_ac_power_inv_3335.csv,Etc/GMT+8,15,,2131
5222,San Gabriel Washington ES,34.1069508,-118.1036145,0.0,False,270.0,7.49,423,5222_ac_power_inv_3334.csv,Etc/GMT+8,15,,2130
5222,San Gabriel Washington ES,34.1069508,-118.1036145,0.0,False,270.0,7.49,424,5222_ac_power_inv_3333.csv,Etc/GMT+8,15,,2130
5226,Central - Cucamonga MS,34.1159418,-117.602299,0.0,False,180.0,30.0,191,5226_ac_power_inv_3355.csv,Etc/GMT+7,15,"clipping, shading",821
5226,Central - Cucamonga MS,34.1159418,-117.602299,0.0,False,180.0,30.0,192,5226_ac_power_inv_3356.csv,Etc/GMT+7,15,"clipping, shading",821
5226,Central - Cucamonga MS,34.1159418,-117.602299,0.0,False,180.0,30.0,193,5226_ac_power_inv_3357.csv,Etc/GMT+7,15,"clipping, shading",819
5226,Central - Cucamonga MS,34.1159418,-117.602299,0.0,False,180.0,30.0,194,5226_ac_power_inv_3358.csv,Etc/GMT+7,15,"clipping, shading",821
5226,Central - Cucamonga MS,34.1159418,-117.602299,0.0,False,180.0,30.0,195,5226_ac_power_inv_3359.csv,Etc/GMT+7,15,shading,821
5226,Central - Cucamonga MS,34.1159418,-117.602299,0.0,False,180.0,30.0,196,5226_ac_power_inv_3360.csv,Etc/GMT+7,15,"clipping, shading",820
5226,Central - Cucamonga MS,34.1159418,-117.602299,0.0,False,180.0,30.0,197,5226_ac_power_inv_3361.csv,Etc/GMT+7,15,"clipping, shading",821
5226,Central - Cucamonga MS,34.1159418,-117.602299,0.0,False,180.0,30.0,198,5226_ac_power_inv_3362.csv,Etc/GMT+7,15,"clipping, shading",821
5226,Central - Cucamonga MS,34.1159418,-117.602299,0.0,False,180.0,30.0,199,5226_ac_power_inv_3363.csv,Etc/GMT+7,15,"clipping, shading",821
5226,Central - Cucamonga MS,34.1159418,-117.602299,0.0,False,180.0,30.0,200,5226_ac_power_inv_3364.csv,Etc/GMT+7,15,"clipping, shading",821
5231,Central - Valle Vista ES,34.1148548,-117.6197738,0.0,False,189.0,7.49,201,5231_ac_power_inv_3391.csv,Etc/GMT+7,15,"shading, clipping",2255
5231,Central - Valle Vista ES,34.1148548,-117.6197738,0.0,False,189.0,7.49,202,5231_ac_power_inv_3392.csv,Etc/GMT+7,15,"shading, clipping",2254
5231,Central - Valle Vista ES,34.1148548,-117.6197738,0.0,False,189.0,7.49,203,5231_ac_power_inv_3393.csv,Etc/GMT+7,15,"shading, clipping",2172
5231,Central - Valle Vista ES,34.1148548,-117.6197738,0.0,False,189.0,7.49,204,5231_ac_power_inv_3394.csv,Etc/GMT+7,15,"shading, clipping",2153
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,205,5242_ac_power_inv_3573.csv,Etc/GMT+7,15,clipping,2002
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,206,5242_ac_power_inv_3574.csv,Etc/GMT+7,15,clipping,1748
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,207,5242_ac_power_inv_3575.csv,Etc/GMT+7,15,clipping,2000
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,208,5242_ac_power_inv_3576.csv,Etc/GMT+7,15,clipping,1936
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,209,5242_ac_power_inv_3577.csv,Etc/GMT+7,15,clipping,1989
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,210,5242_ac_power_inv_3578.csv,Etc/GMT+7,15,clipping,1882
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,211,5242_ac_power_inv_3579.csv,Etc/GMT+7,15,clipping,1947
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,212,5242_ac_power_inv_3580.csv,Etc/GMT+7,15,clipping,1848
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,213,5242_ac_power_inv_3581.csv,Etc/GMT+7,15,clipping,1992
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,214,5242_ac_power_inv_3582.csv,Etc/GMT+7,15,clipping,1985
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,215,5242_ac_power_inv_3583.csv,Etc/GMT+7,15,clipping,2006
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,216,5242_ac_power_inv_3584.csv,Etc/GMT+7,15,clipping,2000
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,217,5242_ac_power_inv_3585.csv,Etc/GMT+7,15,clipping,1944
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0.0,False,150.0,7.49,218,5242_ac_power_inv_3586.csv,Etc/GMT+7,15,clipping,1991
